predicate,attitude,relationship,language,text
美味しい,acknowledge,boss,JP,上司に強く勧められた店を、大輔は半信半疑で訪れました。料理に感動して、翌日上司に言います。「あのお店、[modifier]美味しかったです。教えていただいてありがとうございます」
美味しい,neutral,boss,JP,上司に、接待で使った店の料理がどれくらい美味しかったか聞かれ、大輔は率直に答えます。「料理、[modifier]美味しかったです。値段の割には十分でした」
美味しい,annoyed,boss,JP,料理人の大輔は、時間をかけて仕上げた新メニューの試作を出しました。ところが料理長が味見のあとで大量の香辛料を足してしまい、元の風味が飛んでしまいました。苛立った大輔は言います。「これ、[modifier]美味しくなくなってしまった気がするんですけど」
美味しい,encouraging,boss,JP,上司が家族と作ったお菓子を職場に持ってきましたが、少し焼きすぎでした。気にしている様子の上司を、大輔が励まします。「これ、[modifier]美味しいですよ。香ばしくて私はこのくらいが好きです」
美味しい,warning,boss,EN,"The boss is choosing a restaurant for a client dinner. Wanting to be helpful, Daisuke points out hesitantly: ""I've heard the food there isn't [modifier] tasty these days — might it be worth considering another place as well?"""
美味しい,non-committal,boss,EN,"Asked by his boss for his view on where to hold the dinner, Daisuke, not wanting to assert his opinion, cautiously replies: ""It might not be [modifier] tasty, but it's a quiet, pleasant place."""
美味しい,acknowledge,boss,EN,"Daisuke visits, half-convinced, a restaurant his boss strongly recommended. Moved by the food, he tells his boss the next day: ""It was [modifier]tasty. Thank you for telling me about it."""
美味しい,neutral,boss,EN,"Asked by his boss how tasty the food was at the restaurant they used for the client dinner, Daisuke answers frankly: ""It was [modifier] tasty. Good enough for the price."""
美味しい,annoyed,boss,EN,"Daisuke, a cook, puts out the prototype of a new dish he spent a long time perfecting. But after tasting it, the head chef adds a huge amount of spice and the original flavor is gone. Irritated, Daisuke says: ""I feel like this isn't [modifier] tasty anymore."""
美味しい,encouraging,boss,EN,"The boss brings in sweets he made with his family, but they are slightly overbaked. Seeing that he is bothered by it, Daisuke reassures him: ""They're [modifier] tasty. Nice and toasty — I like them like this."""
美味しい,warning,stranger,JP,新しく開いた店の前で、店員が試作の菓子を配って感想を聞いています。大輔は力になりたいと思い、遠慮がちに指摘します。「甘みが強くて、[modifier]美味しく感じない方もいるかもしれません。少し控えられてはいかがでしょうか」
美味しい,non-committal,stranger,JP,相席になった客に、どのメニューがいいか聞かれます。自分の意見を押し付けたくない大輔は、慎重に答えます。「そちらは、[modifier]美味しくないかもしれませんけど、安くて量も多いですよ」
美味しい,acknowledge,stranger,JP,店員に絶対美味しいと勧められたメニューを、大輔は半信半疑で頼みました。一口食べて感動して言います。「これ、[modifier]美味しいですね。勧めていただいてありがとうございます」
美味しい,neutral,stranger,JP,店の前で、入るか迷っている客に、料理がどれくらい美味しかったか聞かれ、大輔は率直に答えます。「料理、[modifier]美味しかったです。値段の割には十分でした」
美味しい,annoyed,stranger,JP,大輔が注文した料理は、頼んでいないソースが大量にかかった状態で運ばれてきました。休憩時間も限られている中、苛立った大輔は店員を呼び止めて言います。「これ、頼んでいない味付けで[modifier]美味しくなくなってしまったんですけど。作り直していただけますか」
美味しい,encouraging,stranger,JP,店員が、注文した料理の味付けを間違えたことを何度も謝ってきます。大輔はその店員を励まします。「これも[modifier]美味しいですよ。気にしないでください」
美味しい,warning,stranger,EN,"Outside a newly opened shop, a member of staff is handing out prototype sweets and asking for impressions. Wanting to be helpful, Daisuke points out hesitantly: ""The sweetness is strong, so some people might not find it very tasty. Might it be worth toning it down [modifier]?"""
美味しい,non-committal,stranger,EN,"A customer sharing his table asks Daisuke which dish to get. Not wanting to assert his opinion, Daisuke cautiously replies: ""That one might not be [modifier] tasty, but it's cheap and a big portion."""
美味しい,acknowledge,stranger,EN,"Daisuke orders, half-convinced, the dish a server swore was great. One bite in he says, moved: ""This is [modifier]tasty. Thank you for recommending it."""
美味しい,neutral,stranger,EN,"Outside the restaurant, someone deciding whether to go in asks Daisuke how tasty the food was, and he answers frankly: ""It was [modifier] tasty. Good enough for the price."""
美味しい,annoyed,stranger,EN,"The dish Daisuke ordered arrives drenched in a sauce he didn't ask for. With his break already running short, an irritated Daisuke stops the server and says: ""This came with a seasoning I didn't order and it is [modifier] tasty. Could you remake it?"""
美味しい,encouraging,stranger,EN,"A server keeps apologizing for having got the seasoning wrong on Daisuke's order. Daisuke reassures her: ""This is [modifier] tasty too. Please don't worry about it."""
綺麗,warning,friend,JP,友人が部室の飾り付けを終えて大輔に見せてきます。大輔は力になりたいと思い、遠慮がちに指摘します。「そこの配色だけ、[modifier]綺麗じゃない気がするから、色を変えたらどう？」
綺麗,non-committal,friend,JP,友人にデートで行く場所について相談されます。自分の意見を押し付けたくない大輔は、慎重に答えます。「そこ、景色は[modifier]綺麗じゃないかもしれないけど、料理は美味しいよ」
綺麗,acknowledge,friend,JP,古いからと大輔が敬遠していた庭園に、友人が絶対綺麗だと言って連れて行きます。半信半疑だったのですが、整えられた景色に感動して言います。「景色、[modifier]綺麗だね。連れてきてくれてありがとう」
綺麗,neutral,friend,JP,旅行から帰った大輔は、次に行こうか迷っている友人に、その場所がどれくらい綺麗だったか聞かれ、率直に答えます。「あそこ、[modifier]綺麗だったよ。写真は数枚撮ったくらいかな」
綺麗,annoyed,friend,JP,大輔が来客のために家具の配置まで整えた部屋に、友人が荷物を次々と置いていって台無しにされました。苛立った大輔は言います。「整えたばっかりなのに、[modifier]綺麗じゃなくなっちゃったんだけど！」
綺麗,encouraging,friend,JP,友人が描いてくれた絵の線が、少し歪んでいます。それを申し訳ないと言ってきた友人を、大輔が励まします。「絵、[modifier]綺麗に描けてるよ。線はあとで整えられるし」
綺麗,warning,friend,EN,"A friend finishes decorating the clubroom and shows Daisuke. Wanting to be helpful, Daisuke points out hesitantly: ""Just that colour combination doesn't look [modifier] nice to me, so what if you changed it?"""
綺麗,non-committal,friend,EN,"A friend asks Daisuke for advice on where to go on a date. Not wanting to assert his opinion, Daisuke cautiously replies: ""The view there might not be [modifier] nice, but the food is good."""
綺麗,acknowledge,friend,EN,"A friend takes Daisuke to a garden he had been avoiding because it was old, insisting it is beautiful. He was half-convinced, but the well-kept scenery moves him: ""This is [modifier]nice. Thanks for bringing me here."""
綺麗,neutral,friend,EN,"Back from his trip, Daisuke is asked by a friend who is deciding whether to go next how nice the place was, and he answers frankly: ""It was [modifier] nice. I only took a few photos."""
綺麗,annoyed,friend,EN,"A friend keeps piling bags into the room Daisuke had arranged down to the furniture placement for their guests, ruining it. Irritated, Daisuke says: ""I just got it all set up, and now it's [modifier] nice to look at!"""
綺麗,encouraging,friend,EN,"The lines in a drawing a friend made for him came out a little uneven. Since she apologizes for it, Daisuke reassures her: ""It's drawn [modifier] nicely. The lines can be cleaned up later."""
綺麗,warning,colleague,JP,商品の撮影写真を選んだ同僚が、それを大輔に見せてきます。大輔は力になりたいと思い、遠慮がちに指摘します。「その一枚だけ、[modifier]綺麗じゃない気がするので、撮り直されてはどうですか？」
綺麗,non-committal,colleague,JP,買うアクセサリーについて同僚に意見を求められた大輔は、自分の意見を押し付けたくないので、慎重に答えます。「そちらは、[modifier]綺麗じゃないかもしれないですけど、丈夫らしいですね」
綺麗,acknowledge,colleague,JP,同僚が絶対綺麗だと勧めてきた展望台に、大輔は半信半疑で行きました。広がる夜景に感動して、翌日その同僚に言います。「夜景、[modifier]綺麗でした。教えてくれてありがとうございます」
綺麗,neutral,colleague,JP,出張から戻った大輔は、同じ場所に行く同僚に、その施設がどれくらい綺麗だったか聞かれ、率直に答えます。「あそこ、[modifier]綺麗でした。写真を撮るほどではなかったですけど」
綺麗,annoyed,colleague,JP,来客のために大輔が整えた会議室に、同僚が資料や私物を積み上げていきました。来客まで時間もなく、苛立った大輔は言います。「これ、[modifier]綺麗じゃなくなっちゃったんですけど。時間がないので、どけてもらえますか」
綺麗,encouraging,colleague,JP,同僚が作った資料の図が、少し崩れて印刷されてしまいました。それを申し訳ないと言ってきた同僚を、大輔が励まします。「図、[modifier]綺麗にできてますよ。次の版で直せば十分です」
綺麗,warning,colleague,EN,"A colleague who has picked the product photos shows them to Daisuke. Wanting to be helpful, Daisuke points out hesitantly: ""Just that one doesn't look [modifier] nice to me, so what if you reshot it?"""
綺麗,non-committal,colleague,EN,"Asked by a colleague for his view on which accessory to buy, Daisuke, not wanting to assert his opinion, cautiously replies: ""That one might not be [modifier] nice-looking, but it's supposed to be durable."""
綺麗,acknowledge,colleague,EN,"Daisuke goes, half-convinced, to an observation deck a colleague swore was beautiful. Moved by the night view, he tells the colleague the next day: ""It was [modifier]nice. Thanks for telling me."""
綺麗,neutral,colleague,EN,"Back from a business trip, Daisuke is asked by a colleague heading to the same place how nice the facility was, and he answers frankly: ""It was [modifier] nice. Not enough to take photos of, though."""
綺麗,annoyed,colleague,EN,"A colleague has stacked documents and personal items all over the meeting room Daisuke had set up for the clients. With little time left before they arrive, an irritated Daisuke says: ""This is [modifier] nice to look at anymore. We're short on time, so could you move it?"""
綺麗,encouraging,colleague,EN,"A diagram in a colleague's document came out slightly misaligned in print. Since she apologizes for it, Daisuke reassures her: ""It looks [modifier] nice. Fixing it in the next version is plenty."""
綺麗,warning,boss,JP,上司が会社案内に載せる写真を選んで大輔に見せてきます。大輔は力になりたいと思い、遠慮がちに指摘します。「その一枚だけ、[modifier]綺麗に見えないかもしれません。差し替えられてはいかがでしょうか」
綺麗,non-committal,boss,JP,贈答品について上司に意見を求められた大輔は、自分の意見を押し付けたくないので、慎重に答えます。「そちらは、[modifier]綺麗に見えないかもしれませんが、丈夫です」
綺麗,acknowledge,boss,JP,上司に強く勧められた庭園を、大輔は半信半疑で訪れました。整えられた景色に感動して、翌日上司に言います。「景色、[modifier]綺麗でした。教えていただいてありがとうございます」
綺麗,neutral,boss,JP,上司に、視察してきた施設がどれくらい綺麗だったか聞かれ、大輔は率直に答えます。「あそこ、[modifier]綺麗でした。写真を撮るほどではありませんでした」
綺麗,annoyed,boss,JP,来客のために大輔が整えた会議室に、上司が荷物や上着を置いていきました。せっかく整えたのにと思いながらも、苛立った大輔は言います。「この配置だと[modifier]綺麗に見えないかもしれないので、お荷物は隣に移しておきますね」
綺麗,encouraging,boss,JP,上司が作った資料の図が、少し崩れて印刷されてしまいました。気にしている様子の上司を、大輔が励まします。「図、[modifier]綺麗にできていますよ。次の版で直せば十分だと思います」
綺麗,warning,boss,EN,"The boss picks out photos for the company brochure and shows them to Daisuke. Wanting to be helpful, Daisuke points out hesitantly: ""Just that one might not look [modifier] as nice. Might it be worth swapping out?"""
綺麗,non-committal,boss,EN,"Asked by his boss for his view on a corporate gift, Daisuke, not wanting to assert his opinion, cautiously replies: ""That one might not look [modifier] nice, but it's durable."""
綺麗,acknowledge,boss,EN,"Daisuke visits, half-convinced, a garden his boss strongly recommended. Moved by the well-kept scenery, he tells his boss the next day: ""It was [modifier]nice. Thank you for telling me about it."""
綺麗,neutral,boss,EN,"Asked by his boss how nice the facility he inspected was, Daisuke answers frankly: ""It was [modifier] nice. Not enough to take photos of."""
綺麗,annoyed,boss,EN,"The boss has left his bags and coat in the meeting room Daisuke had set up for the clients. Thinking of all the work he had put in, Daisuke, irritated, says: ""It might not look [modifier] as nice arranged like this, so I'll move your things next door."""
綺麗,encouraging,boss,EN,"A diagram in the boss's document came out slightly misaligned in print. Seeing that he is bothered by it, Daisuke reassures him: ""It looks [modifier] nice. Fixing it in the next version is plenty, I think."""
綺麗,warning,stranger,JP,花屋の店員が、店先に並べ終えた鉢の配置を大輔に見せて感想を聞いてきます。大輔は力になりたいと思い、遠慮がちに指摘します。「その一角だけ、[modifier]綺麗に見えないかもしれません。色を分けられてはいかがでしょうか」
綺麗,non-committal,stranger,JP,相席になった客に、どちらの土産物がいいか聞かれます。自分の意見を押し付けたくない大輔は、慎重に答えます。「そちらは、[modifier]綺麗じゃないかもしれませんけど、丈夫そうですよ」
綺麗,acknowledge,stranger,JP,宿のフロント係に絶対綺麗だと勧められた散歩道を、大輔は半信半疑で歩きました。広がる景色に感動して、戻ってから言います。「景色、[modifier]綺麗でした。教えていただいてありがとうございます」
綺麗,neutral,stranger,JP,展望台の入口で、これから上がる客に、景色がどれくらい綺麗だったか聞かれ、大輔は率直に答えます。「景色、[modifier]綺麗でした。写真を撮るほどではなかったですけど」
綺麗,annoyed,stranger,JP,大輔が朝から手入れをした店先の花壇に、通行人が自転車を停めて花が倒れてしまいました。苛立った大輔はその人を呼び止めて言います。「せっかく整えたのに、[modifier]綺麗じゃなくなってしまったんですけど。移動していただけますか」
綺麗,encouraging,stranger,JP,宿のフロント係が、部屋の内装が古いことを何度も謝ってきます。大輔はその係員を励まします。「お部屋、[modifier]綺麗ですよ。手入れが行き届いているのが分かります」
綺麗,warning,stranger,EN,"A florist shows Daisuke the pots she has finished arranging outside the shop and asks what he thinks. Wanting to be helpful, Daisuke points out hesitantly: ""Just that one corner might not look [modifier] nice. Might it be worth separating the colours?"""
綺麗,non-committal,stranger,EN,"A customer sharing his table asks Daisuke which souvenir is better. Not wanting to assert his opinion, Daisuke cautiously replies: ""That one might not be [modifier] nice-looking, but it looks durable."""
綺麗,acknowledge,stranger,EN,"Daisuke walks, half-convinced, a path the hotel receptionist swore was beautiful. Moved by the view that opens up, he says on returning: ""It was [modifier]nice. Thank you for telling me about it."""
綺麗,neutral,stranger,EN,"At the entrance to the observation deck, someone about to go up asks Daisuke how nice the view was, and he answers frankly: ""It was [modifier] nice. Not enough to take photos of, though."""
